Latitude,Longitude
48.6719,6.19334
48.6719,6.19334
48.6722,6.19358
48.6722,6.19358
48.6725,6.19396
48.6725,6.19396
48.6726,6.19419
48.6726,6.19419
48.6727,6.19444
48.6727,6.19444
48.6729,6.19468
48.6729,6.19468
48.673,6.19492
48.673,6.19492
48.6731,6.19516
48.6731,6.19516
48.6732,6.1954
48.6732,6.1954
48.6733,6.19569
48.6733,6.19569
48.6734,6.19591
48.6734,6.19591
48.6748,6.19782
48.6748,6.19782
48.6749,6.19815
48.6749,6.19815
48.6751,6.19862
48.6751,6.19862
48.6752,6.19888
48.6752,6.19888
48.6753,6.19909
48.6753,6.19909
48.6754,6.19929
48.6754,6.19929
48.6756,6.19951
48.6756,6.19951
48.6757,6.19971
48.6757,6.19971
48.6758,6.19991
48.6758,6.19991
48.676,6.20032
48.676,6.20032
48.6762,6.20076
48.6762,6.20076
48.6763,6.20123
48.6763,6.20123
48.6765,6.20168
48.6765,6.20168
48.6766,6.20215
48.6766,6.20215
48.6767,6.20263
48.6767,6.20263
48.6767,6.20313
48.6767,6.20313
48.6768,6.20358
48.6768,6.20358
48.6768,6.20398
48.6768,6.20398
48.6768,6.20436
48.6768,6.20436
48.6768,6.20468
48.6768,6.20468
48.6768,6.20506
48.6768,6.20506
48.6768,6.20536
48.6768,6.20536
48.6766,6.20552
48.6766,6.20552
48.6766,6.20591
48.6766,6.20591
48.6767,6.2062
48.6767,6.2062
48.6768,6.20645
48.6768,6.20645
48.6769,6.2067
48.6769,6.2067
48.6769,6.20706
48.6769,6.20706
48.677,6.20746
48.677,6.20746
48.6771,6.20785
48.6771,6.20785
48.6771,6.20825
48.6771,6.20825
48.6773,6.20862
48.6773,6.20862
48.6775,6.20885
48.6775,6.20885
48.6777,6.20886
48.6777,6.20886
48.6779,6.2087
48.6779,6.2087
48.6781,6.20842
48.6781,6.20842
48.6783,6.20815
48.6783,6.20815
48.6786,6.20797
48.6786,6.20797
48.6789,6.20786
48.6789,6.20786
48.6793,6.20774
48.6793,6.20774
48.6796,6.20763
48.6796,6.20763
48.6799,6.20752
48.6799,6.20752
48.6802,6.20741
48.6802,6.20741
48.6805,6.2073
48.6805,6.2073
48.6807,6.20721
48.6807,6.20721
48.681,6.20712
48.681,6.20712
48.6812,6.20703
48.6812,6.20703
48.6814,6.20695
48.6814,6.20695
48.6817,6.20687
48.6817,6.20687
48.6819,6.20678
48.6819,6.20678
48.6822,6.20669
48.6822,6.20669
48.6824,6.20661
48.6824,6.20661
48.6827,6.20653
48.6827,6.20653
48.683,6.20645
48.683,6.20645
48.6832,6.20638
48.6832,6.20638
48.6835,6.20631
48.6835,6.20631
48.6838,6.20623
48.6838,6.20623
48.684,6.20614
48.684,6.20614
48.6842,6.20606
48.6842,6.20606
48.6845,6.20599
48.6845,6.20599
48.6847,6.20593
48.6847,6.20593
48.685,6.20588
48.685,6.20588
48.6852,6.20587
48.6852,6.20587
48.6855,6.20588
48.6855,6.20588
48.6857,6.20592
48.6857,6.20592
48.686,6.20596
48.686,6.20596
48.6862,6.20599
48.6862,6.20599
48.6865,6.206
48.6865,6.206
48.6867,6.20596
48.6867,6.20596
48.6869,6.20591
48.6869,6.20591
48.6871,6.20582
48.6871,6.20582
48.6873,6.20576
48.6873,6.20576
48.6879,6.20538
48.6875,6.20572
48.6876,6.20575
48.6877,6.20568
48.6877,6.20568
48.6879,6.20554
48.6879,6.20554
48.6885,6.20434
48.6885,6.20434
48.6886,6.2044
48.6886,6.2044
48.6893,6.20391
48.6893,6.20391
48.6898,6.20317
48.6898,6.20317
48.6899,6.20296
48.6899,6.20296
48.6903,6.20253
48.6903,6.20253
48.6906,6.20227
48.6906,6.20227
48.6908,6.202
48.6908,6.202
48.691,6.20172
48.691,6.20172
48.6914,6.20127
48.6914,6.20127
48.6915,6.20106
48.6915,6.20106
48.6917,6.20093
48.6917,6.20093
48.6918,6.20119
48.6918,6.20119
48.692,6.20114
48.692,6.20114
48.6921,6.20096
48.6921,6.20096
48.6923,6.20077
48.6923,6.20077
48.6925,6.20087
48.6925,6.20087
48.6927,6.20102
48.6927,6.20102
48.6917,6.19778
48.6927,6.20102
48.6929,6.20095
48.6929,6.20095
48.6928,6.20123
48.6928,6.20123
48.6923,6.20041
48.6928,6.20168
48.6928,6.20185
48.6931,6.20052
48.6931,6.20052
48.693,6.20105
48.693,6.20105
48.6928,6.20075
48.6928,6.20075
48.6917,6.19778
48.6928,6.20075
48.693,6.20103
48.693,6.20103
48.6933,6.19998
